,Vehicle class,Trip type,Passengers,Distance in kms,Travel time minutes,Total time elapsed(hours),Supplier Quote(including GST),Number of MiniBus,Number of Large MiniBus,Number of Small Coach,Number of Medium Coach,Number of Large Coach,Extra Large Coach,Preds,Margin Of Error
163,0,0,60,5.601,10,0.17,300.0,1,0,0,0,0,1,475.43645849315396,175.43645849315396
164,1,1,100,248.71,174,7.45,2530.0,0,0,0,0,1,1,2531.3072662230647,1.3072662230647438
165,0,0,50,56.537,48,0.8,747.5,0,0,0,0,0,1,759.3545553817843,11.85455538178428
166,0,0,50,56.537,48,0.8,700.0,0,0,0,0,0,1,759.3545553817843,59.35455538178428
167,1,0,14,154.315,117,1.95,1288.0,0,1,0,0,0,0,1567.314106026252,279.3141060262519
168,0,1,16,49.864,52,3.92,402.5,0,1,0,0,0,0,559.5718049310038,157.07180493100384
169,0,1,16,49.864,52,3.92,395.0,0,1,0,0,0,0,559.5718049310038,164.57180493100384
170,0,0,54,1.514,4,0.07,552.0,1,0,0,0,0,1,338.8389561798254,-213.1610438201746
171,0,0,54,1.514,4,0.07,395.0,1,0,0,0,0,1,338.8389561798254,-56.1610438201746
172,0,0,23,13.369000000000002,19,0.32,375.0,0,1,0,0,0,0,367.8454696720722,-7.154530327927773
173,0,0,58,13.705,12,0.2,149.5,1,0,0,0,0,1,482.1347395734193,332.6347395734193
174,0,1,16,97.599,81,5.43,415.0,0,1,0,0,0,0,559.7255076687383,144.72550766873826
175,0,1,50,31.033,30,4.0,475.0,0,0,0,0,0,1,864.8698614361441,389.8698614361441
176,0,1,30,49.872,50,6.42,730.25,0,0,1,0,0,0,618.5161802743627,-111.73381972563732
177,1,0,30,150.99200000000005,126,2.1,1581.25,0,0,1,0,0,0,1577.6935669437466,-3.556433056253354
178,0,1,28,309.505,218,15.28,2102.2,0,0,1,0,0,0,1915.1350400962933,-187.0649599037065
179,0,0,30,23.754,26,0.43,563.5,0,0,1,0,0,0,434.7428742232536,-128.75712577674642
180,0,0,30,23.754,26,0.43,345.0,0,0,1,0,0,0,434.7428742232536,89.74287422325358
181,0,1,15,74.404,63,5.52,799.25,0,1,0,0,0,0,490.2366981812469,-309.0133018187531
182,0,1,16,73.977,80,3.42,563.5,0,1,0,0,0,0,698.2559813581414,134.7559813581414
183,0,1,34,124.819,118,8.48,701.5,0,0,1,0,0,0,866.2193730611419,164.71937306114194
184,0,0,50,40.891,42,0.7,782.0,0,0,0,0,0,1,772.3064134267628,-9.693586573237212
185,0,0,50,40.891,42,0.7,500.0,0,0,0,0,0,1,772.3064134267628,272.3064134267628
186,0,1,40,58.987,63,9.27,775.0,0,0,0,1,0,0,717.0477699112329,-57.952230088767124
187,0,1,21,124.789,101,8.83,725.0,0,1,0,0,0,0,717.9549818889303,-7.04501811106968
188,0,1,25,209.903,194,11.62,1222.45,0,0,1,0,0,0,1062.8651744199983,-159.58482558000173
189,0,1,25,49.575,47,4.17,410.55,0,0,1,0,0,0,570.3410711615237,159.7910711615237
190,0,1,30,11.298,28,3.47,535.9,0,0,1,0,0,0,535.575518844615,-0.32448115538500133
191,0,1,110,81.24600000000002,72,11.27,2185.0,1,0,0,0,0,2,2130.495109633945,-54.50489036605495
192,0,1,110,81.24600000000002,72,11.27,1576.0,1,0,0,0,0,2,2130.495109633945,554.495109633945
193,0,0,50,23.508000000000006,23,0.38,497.0,0,0,0,0,0,1,506.6740298767303,9.674029876730287
194,0,1,25,13.744000000000002,17,9.9,316.25,0,0,1,0,0,0,428.7039309811611,112.45393098116108
195,0,1,30,257.386,194,93.85,2180.4,0,0,1,0,0,0,1710.615724745027,-469.7842752549732
196,0,0,30,3.427,10,0.17,267.95,0,0,1,0,0,0,270.4300640545342,2.480064054534239
197,0,0,30,3.427,10,0.17,320.0,0,0,1,0,0,0,270.4300640545342,-49.56993594546577
198,0,0,15,24.489,28,0.47,349.6,0,1,0,0,0,0,480.85173569736196,131.25173569736194
199,0,0,15,24.489,28,0.47,555.0,0,1,0,0,0,0,480.85173569736196,-74.14826430263804
200,0,1,35,66.342,59,7.48,805.0,0,0,1,0,0,0,713.8407157100686,-91.1592842899314
201,0,1,40,34.673,29,9.48,713.0,0,0,0,1,0,0,672.9821186791472,-40.01788132085278
202,0,1,42,32.374,36,9.05,1035.0,0,0,0,1,0,0,653.495327726467,-381.50467227353295
203,0,1,30,53.905,54,48.45,320.0,0,0,1,0,0,0,465.105312784954,145.10531278495398
204,0,1,45,17.524,18,9.38,747.5,0,0,0,0,1,0,772.3634934081878,24.863493408187765
205,0,0,50,23.508000000000006,23,0.38,926.9,0,0,0,0,0,1,506.6740298767303,-420.2259701232697
206,0,1,7,980.241,715,73.93,2875.0,1,0,0,0,0,0,2949.8391005795515,74.83910057955154
207,0,1,15,78.803,62,5.75,499.0,0,1,0,0,0,0,432.0351071814606,-66.9648928185394
208,0,1,260,61.65600000000001,63,5.27,3680.0,0,0,0,0,1,4,3146.4615108181847,-533.5384891818153
209,0,1,260,61.65600000000001,63,5.27,2611.58,0,0,0,0,1,4,3146.4615108181847,534.8815108181848
210,0,1,30,794.061,597,45.0,3894.48,0,0,1,0,0,0,3067.6009595606542,-826.8790404393458
211,0,1,142,208.588,152,30.77,4805.0,0,0,1,0,0,2,5217.416567534028,412.4165675340282
212,0,1,53,316.365,244,94.0,2375.9,0,0,0,0,0,1,3729.411140943698,1353.5111409436977
213,0,1,53,316.365,244,94.0,2250.0,0,0,0,0,0,1,3729.411140943698,1479.4111409436978
214,0,1,35,997.463,737,102.9,5848.9,0,0,1,0,0,0,6238.69103289657,389.79103289656996
215,0,1,30,316.536,250,94.1,2180.4,0,0,1,0,0,0,2464.2152812581576,283.8152812581575
216,0,1,60,135.753,108,11.65,2331.0,1,0,0,0,0,1,1418.6194322822216,-912.3805677177784
217,1,0,45,642.692,469,7.82,4455.1,0,0,0,0,1,0,5427.296242335631,972.1962423356308
218,1,0,45,642.692,469,7.82,6417.0,0,0,0,0,1,0,5427.296242335631,-989.7037576643688
219,0,1,50,225.047,165,32.37,1642.2,0,0,0,0,0,1,1605.2896344976566,-36.91036550234344
220,0,1,50,225.047,165,32.37,1500.0,0,0,0,0,0,1,1605.2896344976566,105.2896344976566
221,0,1,50,225.047,165,32.37,1675.0,0,0,0,0,0,1,1605.2896344976566,-69.7103655023434
222,0,1,45,604.813,482,105.47,3509.8,0,0,0,0,1,0,3501.462235259644,-8.337764740356306
223,0,1,50,150.869,121,9.0,881.19,0,0,0,0,0,1,1262.3711772561605,381.1811772561605
224,0,1,50,150.869,121,9.0,845.25,0,0,0,0,0,1,1262.3711772561605,417.12117725616054
225,0,0,14,33.035,30,0.5,300.0,0,1,0,0,0,0,462.9318466149565,162.9318466149565
226,0,0,20,33.361999999999995,29,0.48,402.5,0,1,0,0,0,0,451.82570329923726,49.32570329923726
227,0,0,20,33.361999999999995,29,0.48,345.0,0,1,0,0,0,0,451.82570329923726,106.82570329923726
228,1,0,40,56.5,48,0.8,575.0,0,0,0,1,0,0,813.3124190922557,238.3124190922557
229,1,0,40,56.5,48,0.8,747.5,0,0,0,1,0,0,813.3124190922557,65.81241909225571
230,0,1,45,48.212,53,8.93,900.0,0,0,0,0,1,0,835.4394408921893,-64.56055910781072
231,0,1,90,46.408,51,10.17,1075.25,0,0,0,1,0,1,1450.8907288933356,375.64072889333556
232,0,1,18,14.975,12,9.35,470.0,0,1,0,0,0,0,276.8650805939054,-193.13491940609458
233,0,1,18,14.975,12,9.35,475.0,0,1,0,0,0,0,276.8650805939054,-198.13491940609458
234,0,1,18,14.975,12,9.35,320.0,0,1,0,0,0,0,276.8650805939054,-43.13491940609458
235,0,0,20,5.65,14,0.23,250.0,0,1,0,0,0,0,389.9172521436384,139.9172521436384
236,0,1,70,24.316,27,3.23,1278.8,0,1,0,0,0,1,1039.938553153685,-238.86144684631495
237,0,1,11,39.342,40,5.08,130.0,1,0,0,0,0,0,454.576104546892,324.576104546892
238,0,1,18,77.889,64,5.53,560.0,0,1,0,0,0,0,516.6474340844383,-43.35256591556174
239,0,1,26,110.013,93,9.78,805.0,0,0,1,0,0,0,755.6488217744576,-49.35117822554241
240,1,1,50,93.632,77,10.38,741.0,0,0,0,0,0,1,1203.4193102696977,462.4193102696977
241,0,1,30,364.675,270,203.75,2235.0,0,0,1,0,0,0,2321.3375825982607,86.33758259826072
242,0,1,30,364.675,270,203.75,2400.0,0,0,1,0,0,0,2321.3375825982607,-78.66241740173928
243,0,0,50,5.095,8,0.13,300.0,0,0,0,0,0,1,339.36503649105487,39.365036491054866
244,0,0,50,5.095,8,0.13,400.0,0,0,0,0,0,1,339.36503649105487,-60.634963508945134
