Trip Number,Purpose,Vehicle class,Trip type,Passengers,Date of enquiry,Leg 1 start date,Distance in kms,Travel time minutes,Total time elapsed(hours),Trip starts before 7 am,Trip ends after 6pm,Supplier id,Supplier Quote(including GST),Total google distance to the closest depot,Closest depot,Closest city id,Closest city Google distance(km)
#120320204,Christmas Party,Budget,One Way,14,03/12/2020,22/12/2020,35.099,28,0.47,No,No,236,340,38,774,432,0.9
#120320203,Corporate Event,Standard,Return,40,03/12/2020,14/12/2020,111.48,101,11.33,No,Yes,211,977.5,26,773,426,19.4
#120320203,Corporate Event,Standard,Return,40,03/12/2020,14/12/2020,111.48,101,11.33,No,Yes,192,1075,102,772,426,19.4
#120320202,Wedding,Budget,Return,50,03/12/2020,20/02/2021,137.537,129,11.05,No,Yes,211,950,48,773,426,1.9
#120320202,Wedding,Budget,Return,50,03/12/2020,20/02/2021,137.537,129,11.05,No,Yes,192,880,62,772,426,1.9
#120320201,School Trip,Budget,Return,18,03/12/2020,04/03/2021,77.402,80,30.67,No,No,236,813.05,22,774,432,1.9
#120220209,Wedding,Standard,Return,70,02/12/2020,09/01/2021,94.138,90,9.75,No,No,211,1900,48,773,426,2.0
#120220209,Wedding,Standard,Return,70,02/12/2020,09/01/2021,94.138,90,9.75,No,No,192,2290,64,772,426,2.0
#120220204,School Trip,Standard,Return,23,02/12/2020,07/04/2021,435.028,356,11.72,Yes,No,312,1299,10,698,512,1.5
#120220203,Other,Standard,Return,35,02/12/2020,16/01/2021,94.098,73,5.6,No,Yes,211,650,46,773,426,2.5
#120220202,Other,Standard,Return,85,02/12/2020,03/04/2021,53.947,55,5.7,No,Yes,211,990,12,773,533,17.5
#120220202,Other,Standard,Return,85,02/12/2020,03/04/2021,53.947,55,5.7,No,Yes,192,990,114,772,533,17.5
#120120208,Family Trip,Budget,Return,30,01/12/2020,12/12/2020,49.057,53,7.18,No,Yes,332,660,44,768,467,22.4
#120120205,Christmas Party,Budget,One Way,40,01/12/2020,15/12/2020,3.492,10,0.17,No,No,211,330,47,773,426,2.4
#120120205,Christmas Party,Budget,One Way,40,01/12/2020,15/12/2020,3.492,10,0.17,No,No,192,310,65,772,426,2.4
#120120204,Christmas Party,Standard,Return,40,01/12/2020,30/01/2021,106.58,104,7.87,No,No,314,760,12,715,452,7.1
#120120202,Family Trip,Budget,One Way,8,01/12/2020,15/01/2022,84.709,69,1.15,No,No,322,1640,86,736,429,1.5
#120120203,Educational Trip,Budget,Return,25,01/12/2020,07/12/2020,617.892,504,64.2,No,Yes,211,3550,46,773,426,0.7
#120120203,Educational Trip,Budget,Return,25,01/12/2020,07/12/2020,617.892,504,64.2,No,Yes,192,3325,70,772,426,0.7
#120120201,Wedding,Budget,Return,100,01/12/2020,13/03/2021,168.917,168,11.15,No,No,310,1100,2,696,436,0.0
#112620202,Other,Budget,Return,55,26/11/2020,13/01/2021,46.115,53,3.95,No,Yes,236,460,20,774,432,0.8
#1130202011,Christmas Party,Standard,One Way,38,30/11/2020,18/12/2020,5.985,12,0.2,No,No,211,385,38,773,426,2.6
#1130202011,Christmas Party,Standard,One Way,38,30/11/2020,18/12/2020,5.985,12,0.2,No,No,192,355,75,772,426,2.6
#1130202010,Wedding,Standard,Return,60,30/11/2020,23/02/2021,37.142,30,10.25,No,No,319,680,14,735,461,5.6
#113020206,Wedding,Standard,Return,30,30/11/2020,07/05/2021,91.084,77,11.63,No,No,314,767,6,714,452,3.4
#112820201,School Trip,Budget,Return,40,28/11/2020,02/12/2020,8.681,16,6.63,No,No,192,325,42,772,426,12.8
#112720202,Christmas Party,Standard,Return,40,27/11/2020,12/12/2020,184.207,151,8.25,No,Yes,236,962,10,776,544,9.0
#112720201,Business Travel,Budget,Return,20,27/11/2020,04/12/2020,369.704,286,13.35,Yes,Yes,309,1290.3,16,702,461,10.5
#112520202,Wedding,Standard,One Way,60,25/11/2020,11/11/2021,48.846,46,0.77,No,No,309,747.5,50,702,461,17.9
#112620203,Christmas Party,Standard,Return,30,26/11/2020,18/12/2020,20.852,23,7.43,No,Yes,315,530,4,722,438,1.1
#112520204,Other,Budget,Return,25,25/11/2020,27/11/2020,19.468,28,2.98,No,No,322,224.75,6,737,449,2.9
#112520204,Other,Budget,Return,25,25/11/2020,27/11/2020,19.468,28,2.98,No,No,311,500,4,703,449,2.9
#112220202,Club or Society,Standard,Return,45,22/11/2020,12/12/2020,115.055,103,9.85,No,Yes,192,985,88,772,426,11.9
#111520201,Family Trip,Budget,Return,50,15/11/2020,19/12/2020,164.195,143,12.18,No,Yes,211,900,8,773,426,22.3
