,Vehicle class,Trip type,Passengers,Distance in kms,Travel time minutes,Total time elapsed(hours),Supplier Quote(including GST),Number of MiniBus,Number of Large MiniBus,Number of Small Coach,Number of Medium Coach,Number of Large Coach,Extra Large Coach,Preds,Margin Of Error
142,0,1,34,3.631,6,2.03,220.0,0,0,1,0,0,0,343.9472961425781,123.94729614257812
143,1,1,30,146.731,116,5.22,651.0,0,0,1,0,0,0,1062.3116455078125,411.3116455078125
144,0,0,30,47.621,41,0.68,333.5,0,0,1,0,0,0,476.4631042480469,142.96310424804688
145,0,1,30,60.995,56,3.97,747.5,0,0,1,0,0,0,529.3945922851562,-218.10540771484375
146,0,1,20,71.279,62,6.0,489.325,0,1,0,0,0,0,485.4794616699219,-3.8455383300781136
147,0,1,13,103.131,85,7.95,575.0,0,1,0,0,0,0,474.6893615722656,-100.31063842773438
148,0,1,40,21.618,29,3.23,471.5,0,0,0,1,0,0,530.9446411132812,59.44464111328125
149,0,1,13,103.131,85,7.95,832.0,0,1,0,0,0,0,474.6893615722656,-357.3106384277344
150,1,1,40,132.799,114,14.98,667.0,0,0,0,1,0,0,1680.6588134765625,1013.6588134765625
151,0,1,30,64.833,53,9.45,768.2,0,0,1,0,0,0,691.732177734375,-76.46782226562505
152,0,1,100,44.544,41,5.08,1458.2,0,0,0,0,1,1,1391.2183837890625,-66.98161621093755
153,0,1,50,69.759,64,10.52,931.5,0,0,0,0,0,1,941.0507202148438,9.55072021484375
154,0,0,12,7.664,13,0.22,333.5,0,1,0,0,0,0,186.5525665283203,-146.9474334716797
155,0,1,29,34.992,39,4.07,600.53,0,0,1,0,0,0,433.0245361328125,-167.50546386718747
156,0,1,20,210.873,166,12.37,1096.0,0,1,0,0,0,0,977.063720703125,-118.936279296875
157,0,1,30,6.686,14,6.12,535.9,0,0,1,0,0,0,506.8230285644531,-29.076971435546852
158,0,1,16,36.925,43,8.1,786.49,0,1,0,0,0,0,420.9115905761719,-365.57840942382813
159,0,1,13,103.131,85,7.95,1087.09,0,1,0,0,0,0,474.6893005371094,-612.4006994628905
160,0,1,53,45.667,56,48.48,784.3,0,0,0,0,0,1,1340.099853515625,555.799853515625
161,0,1,26,39.869,45,4.87,460.0,0,0,1,0,0,0,470.7560119628906,10.756011962890625
162,0,1,10,731.44,558,76.6,2139.0,1,0,0,0,0,0,3064.07861328125,925.07861328125
163,0,0,60,5.601,10,0.17,300.0,1,0,0,0,0,1,510.71478271484375,210.71478271484375
164,1,1,100,248.71,174,7.45,2530.0,0,0,0,0,1,1,3137.4921875,607.4921875
165,0,0,50,56.537,48,0.8,747.5,0,0,0,0,0,1,673.97265625,-73.52734375
166,0,0,50,56.537,48,0.8,700.0,0,0,0,0,0,1,673.97265625,-26.02734375
167,1,0,14,154.315,117,1.95,1288.0,0,1,0,0,0,0,1312.895263671875,24.895263671875
168,0,1,16,49.864,52,3.92,402.5,0,1,0,0,0,0,351.555419921875,-50.944580078125
169,0,1,16,49.864,52,3.92,395.0,0,1,0,0,0,0,351.555419921875,-43.444580078125
170,0,0,54,1.514,4,0.07,552.0,1,0,0,0,0,1,398.0335998535156,-153.96640014648438
171,0,0,54,1.514,4,0.07,395.0,1,0,0,0,0,1,398.0335998535156,3.033599853515625
172,0,0,23,13.369000000000002,19,0.32,375.0,0,1,0,0,0,0,311.76446533203125,-63.23553466796875
173,0,0,58,13.705,12,0.2,149.5,1,0,0,0,0,1,568.3614501953125,418.8614501953125
174,0,1,16,97.599,81,5.43,415.0,0,1,0,0,0,0,465.8817443847656,50.881744384765625
175,0,1,50,31.033,30,4.0,475.0,0,0,0,0,0,1,636.0379638671875,161.0379638671875
176,0,1,30,49.872,50,6.42,730.25,0,0,1,0,0,0,572.8987426757812,-157.35125732421875
177,1,0,30,150.99200000000005,126,2.1,1581.25,0,0,1,0,0,0,1592.631103515625,11.381103515625
178,0,1,28,309.505,218,15.28,2102.2,0,0,1,0,0,0,1677.935302734375,-424.2646972656248
179,0,0,30,23.754,26,0.43,563.5,0,0,1,0,0,0,379.2096862792969,-184.29031372070312
180,0,0,30,23.754,26,0.43,345.0,0,0,1,0,0,0,379.2096862792969,34.209686279296875
181,0,1,15,74.404,63,5.52,799.25,0,1,0,0,0,0,391.0072937011719,-408.2427062988281
182,0,1,16,73.977,80,3.42,563.5,0,1,0,0,0,0,447.9937438964844,-115.50625610351562
183,0,1,34,124.819,118,8.48,701.5,0,0,1,0,0,0,964.19091796875,262.69091796875
184,0,0,50,40.891,42,0.7,782.0,0,0,0,0,0,1,618.4095458984375,-163.5904541015625
