,Vehicle class,Trip type,Passengers,Distance in kms,Travel time minutes,Total time elapsed(hours),Supplier Quote(including GST),Number of MiniBus,Number of Large MiniBus,Number of Small Coach,Number of Medium Coach,Number of Large Coach,Extra Large Coach
381,0,1,16,19.765,24,10.18,800.0,0,1,0,0,0,0
382,0,1,17,46.172,46,3.88,399.0,0,1,0,0,0,0
383,0,0,30,24.494,26,0.43,900.0,0,0,1,0,0,0
384,0,1,30,37.721,41,4.83,399.0,0,0,1,0,0,0
385,1,1,10,147.536,130,7.08,550.0,1,0,0,0,0,0
386,1,1,45,999.336,736,183.17,9743.95,0,0,0,0,1,0
387,0,1,45,999.1289999999999,736,87.15,6924.61,0,0,0,0,1,0
388,0,1,40,828.8710000000001,605,55.08,4372.3,0,0,0,1,0,0
389,1,0,30,97.50399999999999,67,1.12,1800.0,0,0,1,0,0,0
390,0,0,32,7.711,15,0.25,203.0,0,0,1,0,0,0
391,0,1,13,251.049,206,5.97,324.3,0,1,0,0,0,0
392,0,1,35,116.56700000000001,92,10.52,729.1,0,0,1,0,0,0
393,0,1,19,37.763000000000005,47,5.38,362.25,0,1,0,0,0,0
394,0,0,40,30.519000000000002,27,0.45,400.0,0,0,0,1,0,0
395,0,1,20,13.533,25,3.68,400.0,0,1,0,0,0,0
396,0,1,15,21.06,20,3.67,500.0,0,1,0,0,0,0
397,0,0,40,138.977,114,1.9,1120.0,0,0,0,1,0,0
398,0,1,100,34.441,31,7.0,1375.0,0,0,0,0,1,1
399,0,1,100,34.441,31,7.0,1350.0,0,0,0,0,1,1
400,0,0,20,7.712999999999999,14,0.23,293.25,0,1,0,0,0,0
401,0,0,20,7.712999999999999,14,0.23,325.0,0,1,0,0,0,0
402,0,0,20,23.281999999999996,27,0.45,262.0,0,1,0,0,0,0
403,0,1,40,44.1,58,5.98,490.0,0,0,0,1,0,0
404,0,1,40,44.1,58,5.98,675.0,0,0,0,1,0,0
405,0,1,73,88.54799999999999,87,4.72,1140.0,0,1,0,0,0,1
406,0,1,73,88.54799999999999,87,4.72,1050.0,0,1,0,0,0,1
407,0,1,16,826.791,607,60.08,3420.0,0,1,0,0,0,0
408,1,1,40,504.379,382,4.92,2415.0,0,0,0,1,0,0
409,1,1,40,504.379,382,4.92,2127.5,0,0,0,1,0,0
410,1,1,40,504.379,382,4.92,2612.0,0,0,0,1,0,0
411,0,1,35,328.83099999999996,281,32.32,2100.0,0,0,1,0,0,0
412,0,1,100,51.097,54,31.95,1500.0,0,0,0,0,1,1
413,0,1,100,51.097,54,31.95,1800.0,0,0,0,0,1,1
